steps,time,reward,delta,converged
1,0.010505132501181791,1.1194551871559837,0.10622485871518939,False
2,0.01570880710143996,1.5416254545926664,5.2694626634114e-06,False
3,0.015535041367144231,1.541635584624082,5.2695084786257614e-06,False
4,0.015824544057307932,1.54163575210797,5.269508478752179e-06,False
5,0.015583772716984967,1.541635584624082,5.2695084786257614e-06,False
6,0.015707204096511163,1.54163575210797,5.269508478752179e-06,False
7,0.015617115219505706,1.541635584624082,5.2695084786257614e-06,False
8,0.01540295376100076,1.54163575210797,5.269508478752179e-06,False
9,0.015465791554214903,1.541635584624082,5.2695084786257614e-06,False
10,0.015919762550085537,1.54163575210797,5.269508478752179e-06,False
11,0.015804346195203323,1.541635584624082,5.2695084786257614e-06,False
12,0.015817811436606988,1.54163575210797,5.269508478752179e-06,True
