episode,length,time,reward,delta
0,460.0,0.028978481902868225,-3132.0,100.00022591490794
1,500.0,0.031119455285988806,-3174.0,-0.723358734284536
2,454.0,0.02837671385259455,-2136.0,90.00020332341714
3,500.0,0.03140895797605481,-1986.0,-0.4631206419167453
4,238.0,0.015251950696438143,-1128.0,81.00018299107543
5,258.0,0.016145465644058277,-1247.0,72.90016469196789
6,448.0,0.02845974950787422,-1536.0,65.6101482227711
7,306.0,0.01927645487103291,-1394.0,59.04913340049399
8,58.0,0.0037568023517451365,-156.0,53.144220060444596
9,171.0,0.011237064552005904,-665.0,47.829798054400136
10,63.0,0.004066182302722154,-62.0,43.04681824896012
11,170.0,0.011576580995551922,-565.0,38.74213642406411
12,135.0,0.00821219425097297,-530.0,34.8679227816577
13,112.0,0.006859899292976479,-210.0,31.38113050349193
14,28.0,0.0017604200129426317,72.0,28.24301745314274
15,34.0,0.0021374467719397217,-33.0,25.41871570782847
16,68.0,0.0041783926476455235,32.0,22.876844137045623
17,59.0,0.0036897967456752667,41.0,20.589159723341055
18,47.0,0.0029415140443234122,-46.0,18.53024375100695
19,28.0,0.0017655496285442496,72.0,16.67721937590626
20,40.0,0.0025462130292908114,-138.0,15.009497438315634
21,79.0,0.0048542195254412945,21.0,13.508547694484065
22,90.0,0.005519466571058729,-287.0,12.157692925035661
23,66.0,0.0043697914366020996,-263.0,10.941923632532095
24,119.0,0.007295275431715709,-316.0,9.847731269278881
25,83.0,0.005113585723393044,-181.0,8.86295814235099
26,113.0,0.007003849135344353,-211.0,7.976662328115893
27,36.0,0.0022499777182929392,64.0,7.178996095304299
28,110.0,0.006740315125171037,-505.0,6.461096485773865
29,48.0,0.0029803067636748892,52.0,5.814986837196486
30,76.0,0.004712193289378774,-75.0,5.233488153476841
31,31.0,0.0019364299541848595,69.0,4.710139338129153
32,45.0,0.0028139148521404422,55.0,4.2391254043162405
33,64.0,0.003953971957798785,-162.0,3.815212863884611
34,59.0,0.0036683164794339973,-58.0,3.4336915774961483
35,73.0,0.004517909091646288,-171.0,3.0903224197465278
36,22.0,0.0017431075598324242,78.0,2.7812901777718793
37,27.0,0.0025907765661941085,73.0,2.50316115999469
38,85.0,0.00648511674035035,-183.0,2.2528450439952223
39,61.0,0.00435408198791265,-159.0,2.0275605395956973
40,28.0,0.0017998539337895636,72.0,1.8248044856361219
41,24.0,0.00155876199278282,-23.0,1.6423240370725125
42,23.0,0.001534396318220388,77.0,1.478091633365267
43,18.0,0.0011794910269600223,82.0,1.3302824700287346
44,32.0,0.002059540732716414,68.0,1.1972542230258654
45,49.0,0.003081296074014972,-147.0,1.0775288007232717
46,35.0,0.0022656871665276412,65.0,0.969775920650946
47,51.0,0.00322428411391229,-50.0,0.8727983285858585
48,29.0,0.0018569209096312989,-28.0,0.7855184957272741
49,33.0,0.002098333452067891,67.0,0.706966646154541
50,42.0,0.0026170658470618946,-41.0,0.6362699815390869
51,38.0,0.0024513151370229025,62.0,0.5726429833851796
52,69.0,0.004347990568930982,-266.0,0.515378685046656
53,27.0,0.00173252772719934,73.0,0.46384081654198894
54,33.0,0.002171751077639783,-230.0,0.4174567348877929
55,57.0,0.0035557855330807797,-254.0,0.37571106139901644
56,41.0,0.002576349521859811,-40.0,0.3381399552591091
57,20.0,0.001327608682004211,80.0,0.3043259597331911
58,84.0,0.0052822218417531985,-380.0,0.2738933637598677
59,31.0,0.001963681037977949,-129.0,0.2465040273838781
60,21.0,0.0013753782291132666,79.0,0.2218536246454903
61,30.0,0.001911743678192579,-128.0,0.19966826218093559
62,42.0,0.002688880467758281,-41.0,0.1797014359628406
63,47.0,0.002955620488137356,-46.0,0.1617312923665537
64,26.0,0.0016892465941964474,74.0,0.14555816312990544
65,29.0,0.0018405702594463946,-28.0,0.13100234681691347
66,49.0,0.0030639836209047644,-147.0,0.11790211213522639
67,30.0,0.001940277165886073,-29.0,0.10611190092170375
