episode,length,time,reward,delta
0,20.0,0.001360630583690181,0.0,0.0005213057231704383
1,28.0,0.0018405702594463946,0.0,0.00025592628927107776
2,13.0,0.0008880647305886669,0.0,0.000471982848742207
3,53.0,0.0032165896903961766,0.0,0.00023344801934725874
4,40.0,0.002415728427877184,0.0,-5.8118037399396854e-05
5,36.0,0.0023782181125397983,0.0,0.00038958585983935745
6,28.0,0.0017636260228073297,0.0,0.0006112986340340251
7,118.0,0.00707758736211872,0.0,-1.8761943044805283e-05
8,23.0,0.001498168406556033,0.0,-0.0001516801148226302
9,26.0,0.0017181006828650425,0.0,0.0005679823698920562
10,31.0,0.0019258501216654622,0.0,0.00023313200317752903
11,25.0,0.0015905014904546988,0.0,0.0007519560892474682
12,90.0,0.005408538630149451,0.0,0.00042532970617486284
13,70.0,0.0042245591896517,0.0,-0.0003803218056125551
14,12.0,0.0008931943463039715,0.0,-0.0002025200978401895
15,41.0,0.00254781603405263,0.0,0.00038279673555737654
16,33.0,0.0020675557573213155,0.0,-2.5940394279884253e-05
17,56.0,0.0034464605971606943,0.0,-0.00012985385874985408
18,51.0,0.0031139973749532146,0.0,-0.00013651210334036717
19,32.0,0.002029724840895142,0.0,-0.00010524244233587373
20,54.0,0.0033541275132620285,0.0,-8.662310092373549e-05
21,21.0,0.0013676838053697793,0.0,4.0582148287968004e-05
22,168.0,0.010096045643308571,0.0,-3.080519454982456e-05
23,85.0,0.005134104186367949,0.0,-8.712994666872597e-05
24,72.0,0.0043386931405393625,0.0,0.00019634773198078657
25,16.0,0.0010339381791482083,0.0,-7.841695200185332e-05
26,70.0,0.0044191639880182265,0.0,-0.0003563556915793135
27,97.0,0.005788450798263511,0.0,0.000231233203115695
28,76.0,0.00460895977164455,0.0,0.0007944088425015761
29,77.0,0.004624989820854353,0.0,0.000523362866794285
30,33.0,0.0020364574617133258,0.0,-0.00037669168727201373
31,96.0,0.005804160246725587,0.0,0.0006511556429868709
32,22.0,0.0014029499137677703,0.0,0.00021010321741253286
33,41.0,0.0025141529305301447,0.0,-1.4900499654542875e-05
34,10.0,0.0007341762574242239,0.0,-3.9375895253633835e-05
35,6.0,0.00043377313375003723,0.0,0.0004959841163717116
36,63.0,0.003865486085601333,0.0,0.00015261138774298277
37,64.0,0.0038683714944909298,0.0,6.170667310033591e-05
38,30.0,0.0018678213432394841,0.0,3.522769288931513e-05
39,15.0,0.0009672531740534396,0.0,4.073965701528097e-05
40,10.0,0.0006575526218739469,0.0,3.666569131375284e-05
41,51.0,0.003121371197607914,0.0,-0.0003422896250512996
42,51.0,0.003127462616362209,0.0,-1.4277007634847763e-05
43,12.0,0.0008050290753089939,0.0,0.0004463857047345405
44,40.0,0.0024628567728086637,0.0,0.00013735024896868449
45,27.0,0.0017524049883377302,0.0,-3.543830572827044e-05
46,6.0,0.00043249072984963277,0.0,0.0002258931187402229
47,23.0,0.0014250713818455552,0.0,-2.441320851313117e-05
48,7.0,0.0004978933309303102,0.0,0.00020330380686620065
49,55.0,0.003317579000963633,0.0,-2.88711105137277e-06
50,8.0,0.0005681049467511912,0.0,-2.1971887661818043e-05
51,69.0,0.004224238588676599,0.0,0.0004710265801148565
52,47.0,0.002855592980381516,0.0,-0.0005158254918126452
53,14.0,0.000917239420232363,0.0,5.392721285901107e-05
54,34.0,0.0021730334816538743,0.0,0.0007149679582514185
55,15.0,0.0009739857948716235,0.0,-1.1339128696376114e-05
56,50.0,0.0030652660250325425,0.0,1.561866895759918e-05
57,70.0,0.004738161968930399,0.0,4.372647349825873e-05
58,47.0,0.0029597883006999837,0.0,0.000736518855775326
