params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.865748016601998,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",1.9956564978446067,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",1.5406380985540125,100,-2.9,6.769230769230769,-13.375,6.769230769230769,10.064054466649727
"{""discount_factor"": 0.3}",1.5080797860437372,100,-4.310096153846154,-13.375,-13.375,6.769230769230769,10.021628272780621
"{""discount_factor"": 0.4}",1.4043618405318057,100,-1.2884615384615388,6.769230769230769,-13.375,6.769230769230769,9.868617329097612
"{""discount_factor"": 0.5}",1.5495809424514846,100,-4.511538461538461,-13.375,-13.375,6.769230769230769,9.999333187827249
"{""discount_factor"": 0.6}",1.60231403379521,100,-2.9,6.769230769230769,-13.375,6.769230769230769,10.064054466649726
"{""discount_factor"": 0.7}",1.5857261387907329,100,-2.094230769230769,6.769230769230769,-13.375,6.769230769230769,9.999333187827247
"{""discount_factor"": 0.8}",1.706707164983186,100,-3.7057692307692305,-13.375,-13.375,6.769230769230769,10.064054466649726
"{""discount_factor"": 0.9}",1.799650031963921,100,-2.698557692307692,6.769230769230769,-13.375,6.769230769230769,10.053969230659614
