steps,time,reward,delta,converged
1,0.0012157189380985756,0.6666666666666666,0.3333333333333333,False
2,0.0011124854206627788,0.96,0.08000000000000002,False
3,0.0011079970068692546,1.1088,0.032000000000000015,False
4,0.0011153708295381648,1.181952,0.012800000000000006,False
5,0.0011195386423565878,1.2186692266666665,0.0050133333333333314,False
6,0.00112723306601481,1.2373511167999998,0.0023466666666666636,False
7,0.0011333244847406831,1.2468604791466664,0.001050043733333339,False
8,0.0011102412137802276,1.2517369763703465,0.0004797849600000001,False
9,0.0011108824157446406,1.2542597920260095,0.00022753307306666755,False
10,0.0011384541005128312,1.2555738756515975,0.00010453750033066582,False
11,0.0011044703960294555,1.2562615974357332,5.13835466751998e-05,False
12,0.0011182562384135508,1.256622173104068,2.439541328008504e-05,False
13,0.0011083176078585666,1.2568111257593388,1.375516666538663e-05,False
14,0.0011047909970045566,1.2569099216811297,7.871771264942001e-06,True
