params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",4.057576089834967,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",4.237975058525706,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",4.14489497432308,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",4.128314773742275,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",4.195002984795181,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",4.136146414622999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",4.105268051278202,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",4.3719612637064955,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",4.362762580222395,100,0.000239633214294432,0.0,0.0,0.0070921985815602835,0.0011303174304089563
"{""discount_factor"": 0.9}",4.611310097456297,100,0.0013690616971686945,0.0,0.0,0.009708737864077669,0.002537069415910802
